Nro.,Fecha,Valor de la UFV
356,22 de Diciembre 2023,2.47345
357,23 de Diciembre 2023,2.47356
358,24 de Diciembre 2023,2.47367
359,25 de Diciembre 2023,2.47378
360,26 de Diciembre 2023,2.47389
361,27 de Diciembre 2023,2.47400
362,28 de Diciembre 2023,2.47411
363,29 de Diciembre 2023,2.47422
364,30 de Diciembre 2023,2.47433
365,31 de Diciembre 2023,2.47444
366,1 de Enero 2024,2.47455
367,2 de Enero 2024,2.47466
368,3 de Enero 2024,2.47477
369,4 de Enero 2024,2.47488
370,5 de Enero 2024,2.47499
371,6 de Enero 2024,2.47510
372,7 de Enero 2024,2.47521
373,8 de Enero 2024,2.47532
374,9 de Enero 2024,2.47543
375,10 de Enero 2024,2.47554
376,11 de Enero 2024,2.47568
377,12 de Enero 2024,2.47582
378,13 de Enero 2024,2.47596
379,14 de Enero 2024,2.47610
380,15 de Enero 2024,2.47624
381,16 de Enero 2024,2.47638
382,17 de Enero 2024,2.47652
383,18 de Enero 2024,2.47666
384,19 de Enero 2024,2.47680
385,20 de Enero 2024,2.47694
386,21 de Enero 2024,2.47708
387,22 de Enero 2024,2.47722
388,23 de Enero 2024,2.47736
389,24 de Enero 2024,2.47750
390,25 de Enero 2024,2.47764
391,26 de Enero 2024,2.47778
392,27 de Enero 2024,2.47792
393,28 de Enero 2024,2.47806
394,29 de Enero 2024,2.47820
395,30 de Enero 2024,2.47834
396,31 de Enero 2024,2.47848
397,1 de Febrero 2024,2.47863
398,2 de Febrero 2024,2.47878
399,3 de Febrero 2024,2.47893
400,4 de Febrero 2024,2.47908
401,5 de Febrero 2024,2.47923
402,6 de Febrero 2024,2.47938
403,7 de Febrero 2024,2.47953
404,8 de Febrero 2024,2.47968
405,9 de Febrero 2024,2.47983
406,10 de Febrero 2024,2.47998
407,11 de Febrero 2024,2.48011
408,12 de Febrero 2024,2.48024
409,13 de Febrero 2024,2.48037
410,14 de Febrero 2024,2.48050
